joint_name,lower_limit,upper_limit,damping,friction,velocity_limit,effort_limit,
torso_heave_eq_joint,0,0.17,2,0,1200,
torso_roll_eq_joint,-30,30,2,0,50,
torso_pitch_eq_joint,-30,30,2,0,50,
torso_yaw_joint,-60,60,2,0,30,
neck_pitch_joint,-30,50,2,0,30,
neck_yaw_joint,-80,80,2,0,30,
mobile_base_l_wheel_joint,-360,360,0.5,0,100,30
mobile_base_r_wheel_joint,-360,360,0.5,0,100,30
r_shoulder_pitch,-170,35,2,0,120,
r_shoulder_roll,-15,150,2,0,120,
r_shoulder_yaw,-50,80,2,0,120,
l_shoulder_pitch,-170,35,2,0,120,
l_shoulder_roll,-15,150,2,0,120,
l_shoulder_yaw,-50,80,2,0,120,
l_elbow,-3,75,2,0,120,
l_wrist_roll,-62,52,2,0,120,
l_wrist_pitch,-32,32,2,0,120,
l_wrist_yaw,-92,92,2,0,120,
l_thumb_add,0,100,2,0,100,
l_thumb_prox,0,90,2,0,100,
l_thumb_dist,0,101.4,2,0,120,
l_index_add,0,15,2,0,100,
l_index_prox,0,90,2,0,100,
l_index_dist,0,103.1,2,0,100,
l_middle_prox,0,90,2,0,100,
l_middle_dist,0,103.1,2,0,100,
l_ring_prox,0,90,2,0,100,
l_ring_dist,0,103.1,2,0,100,
l_pinkie_prox,0,90,2,0,100,
l_pinkie_dist,0,98.7,2,0,100,
r_elbow,-3,75,2,0,120,
r_wrist_roll,-62,52,2,0,120,
r_wrist_pitch,-32,32,2,0,120,
r_wrist_yaw,-92,92,2,0,120,
r_thumb_add,0,100,2,0,100,
r_thumb_prox,0,90,2,0,100,
r_thumb_dist,0,101.4,2,0,120,
r_index_add,0,15,2,0,100,
r_index_prox,0,90,2,0,100,
r_index_dist,0,103.1,2,0,100,
r_middle_prox,0,90,2,0,100,
r_middle_dist,0,103.1,2,0,100,
r_ring_prox,0,90,2,0,100,
r_ring_dist,0,103.1,2,0,100,
r_pinkie_prox,0,90,2,0,100,
r_pinkie_dist,0,98.7,2,0,100,
